Date,EUR_TL,USD_TL
2015-02-26,2.8277499675750732,2.4872000217437744
2015-02-27,2.8048300743103027,2.504470109939575
2015-03-02,2.7970099449157715,2.506089925765991
2015-03-03,2.8173398971557617,2.520709991455078
2015-03-04,2.8331000804901123,2.53262996673584
2015-03-05,2.837369918823242,2.5620200634002686
2015-03-06,2.875040054321289,2.6057300567626953
2015-03-09,2.843100070953369,2.6226999759674072
2015-03-10,2.820499897003174,2.6031200885772705
2015-03-11,2.8220999240875244,2.6362900733947754
2015-03-12,2.7544500827789307,2.6112399101257324
2015-03-13,2.7486701011657715,2.5859899520874023
2015-03-16,2.75639009475708,2.629879951477051
2015-03-17,2.7736799716949463,2.622889995574951
2015-03-18,2.765929937362671,2.6107499599456787
2015-03-19,2.789900064468384,2.5696499347686768
2015-03-20,2.77839994430542,2.602289915084839
2015-03-23,2.7886500358581543,2.5772199630737305
2015-03-24,2.779520034790039,2.540570020675659
2015-03-25,2.785399913787842,2.5554299354553223
2015-03-26,2.8352599143981934,2.5859899520874023
2015-03-27,2.8334999084472656,2.6029999256134033
2015-03-30,2.8414299488067627,2.6113998889923096
2015-03-31,2.8201000690460205,2.60260009765625
2015-04-01,2.7910799980163574,2.5959599018096924
2015-04-02,2.799720048904419,2.596859931945801
2015-04-03,2.8134500980377197,2.58870005607605
2015-04-06,2.8233799934387207,2.566270112991333
2015-04-07,2.811850070953369,2.570580005645752
2015-04-08,2.81466007232666,2.600939989089966
2015-04-09,2.8031198978424072,2.59768009185791
2015-04-10,2.7934000492095947,2.618769884109497
2015-04-13,2.785749912261963,2.626620054244995
2015-04-14,2.8212499618530273,2.6681900024414062
2015-04-15,2.861140012741089,2.6868999004364014
2015-04-16,2.8809499740600586,2.6975600719451904
2015-04-17,2.8853600025177,2.680619955062866
2015-04-20,2.8980400562286377,2.6809298992156982
2015-04-21,2.899049997329712,2.6955299377441406
2015-04-22,2.8834400177001953,2.6844699382781982
2015-04-23,2.9112699031829834,2.7123000621795654
2015-04-24,2.9252400398254395,2.7034499645233154
2015-04-27,2.9549100399017334,2.7196600437164307
2015-04-28,2.913209915161133,2.6773200035095215
2015-04-29,2.9173998832702637,2.657259941101074
2015-04-30,2.9521501064300537,2.656749963760376
2015-05-01,2.9989500045776367,2.6734800338745117
2015-05-04,3.0340099334716797,2.711280107498169
2015-05-05,3.024940013885498,2.7133500576019287
2015-05-06,3.026979923248291,2.705080032348633
2015-05-07,3.0556399822235107,2.693589925765991
2015-05-08,3.0244998931884766,2.6877501010894775
2015-05-11,3.0139000415802,2.690999984741211
2015-05-12,3.001039981842041,2.6924901008605957
2015-05-13,2.9856600761413574,2.660099983215332
2015-05-14,2.986910104751587,2.629689931869507
2015-05-15,2.95524001121521,2.5910398960113525
2015-05-18,2.947930097579956,2.576119899749756
2015-05-19,2.924989938735962,2.582200050354004
2015-05-20,2.8873300552368164,2.591020107269287
2015-05-21,2.8654000759124756,2.5782198905944824
2015-05-22,2.8786799907684326,2.59089994430542
2015-05-25,2.8565099239349365,2.599440097808838
2015-05-26,2.867530107498169,2.614449977874756
2015-05-27,2.871890068054199,2.637079954147339
2015-05-28,2.8778998851776123,2.641079902648926
2015-05-29,2.9098498821258545,2.6553099155426025
2015-06-01,2.915410041809082,2.6595699787139893
2015-06-02,2.9270401000976562,2.6808199882507324
2015-06-03,2.9793100357055664,2.6721599102020264
2015-06-04,3.024139881134033,2.684530019760132
2015-06-05,2.9921000003814697,2.6688199043273926
2015-06-08,3.0576701164245605,2.7522900104522705
2015-06-09,3.102139949798584,2.7501800060272217
2015-06-10,3.107419967651367,2.7506399154663086
2015-06-11,3.0907399654388428,2.7324299812316895
2015-06-12,3.0394198894500732,2.7029099464416504
2015-06-15,3.0477399826049805,2.716140031814575
2015-06-16,3.084939956665039,2.735729932785034
2015-06-17,3.0730700492858887,2.73334002494812
2015-06-18,3.083889961242676,2.7107698917388916
2015-06-19,3.0865399837493896,2.714560031890869
2015-06-22,3.0614399909973145,2.6933701038360596
2015-06-23,3.0256400108337402,2.667180061340332
2015-06-24,2.9910800457000732,2.6764800548553467
2015-06-25,3.0021400451660156,2.6774799823760986
2015-06-26,2.973140001296997,2.6539299488067627
2015-06-29,2.9637699127197266,2.6986498832702637
2015-06-30,3.032900094985962,2.7032999992370605
2015-07-01,2.9859399795532227,2.681030035018921
2015-07-02,2.9707400798797607,2.691610097885132
2015-07-03,2.9745399951934814,2.683619976043701
2015-07-06,2.984499931335449,2.7152199745178223
2015-07-07,2.9608800411224365,2.6793100833892822
2015-07-08,2.957940101623535,2.686530113220215
2015-07-09,2.9738800525665283,2.6844699382781982
2015-07-10,2.9590799808502197,2.674269914627075
2015-07-13,2.9693400859832764,2.668489933013916
2015-07-14,2.9088399410247803,2.6459898948669434
2015-07-15,2.8986899852752686,2.631319999694824
2015-07-16,2.8959600925445557,2.6464500427246094
2015-07-17,2.8928399085998535,2.6570301055908203
2015-07-20,2.8774399757385254,2.656630039215088
2015-07-21,2.9188599586486816,2.693700075149536
2015-07-22,2.9354400634765625,2.6839399337768555
2015-07-23,2.9568400382995605,2.7066900730133057
2015-07-24,3.0026800632476807,2.7330501079559326
2015-07-27,3.0101399421691895,2.744189977645874
2015-07-28,3.0704801082611084,2.7681798934936523
2015-07-29,3.051539897918701,2.7572999000549316
2015-07-30,3.0383501052856445,2.7657599449157715
