Price,Close,High,Low,Open,Volume
Ticker,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS
Date,,,,,
2015-01-19,8.846304893493652,8.884109760090588,8.770695881367637,8.808500026896716,1094105
2015-01-20,8.997525215148926,9.073134961589362,8.92191618977647,8.997525215148926,4474382
2015-01-21,9.299962997436523,9.375572018887,9.110939362208414,9.186548383658891,6287846
2015-01-22,9.299962997436523,9.41337689014621,9.262158126177312,9.375572018887,3758929
2015-01-23,9.602399826049805,9.64020469455576,9.451181073093881,9.488985941599836,4539903
2015-01-26,9.791422843933105,9.791422843933105,9.602399234123324,9.640204100298849,1420038
2015-01-27,9.867033958435059,9.942642980309397,9.640205450676149,9.75361934402163,5970339
2015-01-28,9.904837608337402,9.980446620886841,9.867032741528753,9.942641754078192,3032794
2015-01-29,9.640204429626465,9.791423178426639,9.640204429626465,9.753618310959627,3083178
2015-01-30,9.640204429626465,9.715814164560488,9.564594694692442,9.678009297093476,3153651
2015-02-02,9.564595222473145,9.640204961579363,9.526791073987946,9.602400092026253,1160181
2015-02-03,9.564595222473145,9.71581470068558,9.526791073987946,9.602400092026253,4395533
2015-02-04,9.299962997436523,9.45118176140542,9.262158126177312,9.375572018887,3825507
2015-02-05,9.22435188293457,9.29996161420718,9.110938007093491,9.186547017298265,3960403
2015-02-06,9.07313346862793,9.262157082557678,9.035328601628407,9.262157082557678,2895372
2015-02-09,8.884110450744629,8.921915320280528,8.77069656320484,8.884110450744629,4903976
2015-02-10,8.657279968261719,8.921913273227362,8.657279968261719,8.88410841236545,3266929
2015-02-11,8.581671714782715,8.695085586175269,8.581671714782715,8.61947585786836,3867790
2015-02-12,8.884110450744629,8.921915320280528,8.73289169366894,8.77069656320484,6034558
2015-02-13,9.110939025878906,9.148743895742554,9.035329286151612,9.110939025878906,2901019
2015-02-16,9.110939025878906,9.299962654129224,9.110939025878906,9.22435291440193,2575377
2015-02-17,8.846304893493652,9.035328505410474,8.808500026896716,8.959719493284458,1630341
2015-02-18,8.959721565246582,9.073135470196833,8.732893034278057,8.732893034278057,3097907
2015-02-19,9.07313346862793,9.148743202626974,8.997523734628885,9.148743202626974,1872273
2015-02-20,9.03532886505127,9.110938601254698,8.92191498181401,9.03532886505127,3147261
2015-02-23,9.262158393859863,9.29996326621166,9.110939625520643,9.110939625520643,2112241
2015-02-24,9.110939025878906,9.299962654129224,8.997524416287964,9.262157784265577,4636907
2015-02-25,9.14874267578125,9.337766278825756,9.110937810958784,9.29996141400329,1930074
2015-02-26,9.07313346862793,9.2999619495572,9.035328601628407,9.262157082557678,2801366
2015-02-27,8.846304893493652,8.997523638813538,8.695086148173766,8.921914626687522,5546985
2015-03-02,8.884110450744629,8.921915320280528,8.69508682413304,8.846305581208728,3487238
2015-03-03,8.808499336242676,8.921913927140906,8.732890330044988,8.770695193677732,2496517
2015-03-04,8.581671714782715,8.808499457567823,8.54386685062926,8.808499457567823,2716994
2015-03-05,8.506062507629395,8.581672240568796,8.354843762818442,8.468257641159694,3845346
2015-03-06,8.581671714782715,8.846304321721277,8.468257122322353,8.770695314482177,5680957
2015-03-09,8.657279968261719,8.770694550847457,8.657279968261719,8.770694550847457,2226822
2015-03-10,8.430452346801758,8.581671805005408,8.392648203318661,8.430452346801758,3852870
2015-03-11,8.31704044342041,8.543868963363655,8.20362654398278,8.506064089861782,6157854
2015-03-12,8.128015518188477,8.392648869998506,8.09021065063449,8.317039134890534,6057234
2015-03-13,8.090210914611816,8.241429668694039,7.976797029317124,8.090210914611816,7198482
2015-03-16,8.31704044342041,8.354845316922281,8.20362654398278,8.241430696416666,2813534
2015-03-17,8.468257904052734,8.468257904052734,8.317039154547269,8.354844022190605,2832750
2015-03-18,8.468257904052734,8.50606277169607,8.317039154547269,8.39264888983394,2038529
2015-03-19,8.581671714782715,8.695085586175269,8.54386685062926,8.581671714782715,2506758
2015-03-20,8.884110450744629,8.884110450744629,8.581672936593252,8.581672936593252,5175712
2015-03-23,9.07313346862793,9.186547348558634,8.997523734628885,9.035328601628407,6453082
2015-03-24,9.07313346862793,9.148743202626974,8.997523734628885,9.035328601628407,4605766
2015-03-25,9.22435188293457,9.413375490048262,9.110938007093491,9.148742872729796,7103336
2015-03-26,9.14874267578125,9.262156549180824,9.073132946136319,9.110937810958784,5020079
2015-03-27,8.921916007995605,9.110939649177428,8.921916007995605,8.959720880445564,5224719
2015-03-30,9.07313346862793,9.07313346862793,8.959719588697226,9.035328601628407,3905673
2015-03-31,9.07313346862793,9.07313346862793,9.07313346862793,9.07313346862793,0
2015-04-01,8.959721565246582,8.997525719517984,8.884111814567733,8.997525719517984,2920989
2015-04-02,9.14874267578125,9.186546819535893,8.959719072736743,8.997523216491388,3383216
2015-04-03,9.3377685546875,9.3377685546875,9.110940031536403,9.110940031536403,1558654
2015-04-06,9.488986015319824,9.602399900650907,9.375571408920845,9.413376277720504,2936968
2015-04-07,9.486681938171387,9.563496734624154,9.448274173661416,9.525088970114181,3813013
2015-04-08,9.486681938171387,9.601904499134125,9.448274173661416,9.563496734624154,3438749
2015-04-09,9.525089263916016,9.563497029610676,9.409866699399231,9.409866699399231,3125321
2015-04-10,9.486681938171387,9.525088970114181,9.409866409151443,9.448274173661416,1661092
2015-04-13,9.371459007263184,9.448274539255449,9.371459007263184,9.409866773259315,3433817
2015-04-14,9.333050727844238,9.37145849172751,9.256235932644858,9.29464369652813,5188272
2015-04-15,9.17941951751709,9.333049825631797,9.17941951751709,9.21782727768754,3684236
2015-04-16,9.371459007263184,9.48668230525158,9.333051241267052,9.371459007263184,5047934
2015-04-17,9.294644355773926,9.448274689636467,9.294644355773926,9.448274689636467,2313244
2015-04-20,9.333050727844238,9.409866255610785,9.29464369652813,9.333050727844238,1256906
2015-04-21,9.409865379333496,9.448273139640113,9.256235070674123,9.333049858720262,5141271
2015-04-22,9.486681938171387,9.525088970114181,9.409866409151443,9.448274173661416,2184896
2015-04-23,9.486681938171387,9.486681938171387,9.486681938171387,9.486681938171387,0
2015-04-24,9.793941497802734,9.870757018263319,9.601903429218368,9.601903429218368,2139119
2015-04-27,9.793941497802734,9.909164045926516,9.71712597734215,9.755533737572442,2666443
2015-04-28,9.909164428710938,9.909164428710938,9.832349637850143,9.870757399564102,1474080
2015-04-29,9.870758056640625,9.985980616885513,9.83235029236994,9.90916508834414,2770346
2015-04-30,9.717126846313477,9.717126846313477,9.601904287885713,9.717126846313477,4023823
2015-05-01,9.717126846313477,9.717126846313477,9.717126846313477,9.717126846313477,0
2015-05-04,9.563496589660645,9.563496589660645,9.486681794372236,9.525088825732857,2282824
